id_usuario,edad,genero,rango_edad,plataforma_principal,horas_semana,juego_favorito
299,20,Masculino,18-24,PC,21,Valorant
300,31,Masculino,25-34,Xbox,15,Halo
301,17,Femenino,13-17,Switch,10,Pokemon
302,29,Masculino,25-34,PC,17,League of Legends
303,40,Femenino,35-44,PC,9,Civilization
304,53,Masculino,45-54,PC,5,Age of Empires
305,23,Masculino,18-24,PC,18,FIFA
306,26,Femenino,25-34,Switch,11,Animal Crossing
307,36,Masculino,35-44,PlayStation,13,God of War
308,54,Femenino,55+,PC,3,Solitaire
309,19,Femenino,18-24,PC,16,The Sims
310,32,Masculino,25-34,PC,18,Valorant
311,15,Masculino,13-17,Switch,9,Pokemon
312,30,Femenino,25-34,PC,12,Stardew Valley
313,41,Masculino,35-44,Xbox,10,Red Dead Redemption
314,51,Femenino,45-54,PC,5,Civilization
315,21,Masculino,18-24,PC,20,Valorant
316,28,Masculino,25-34,PlayStation,16,Elden Ring
317,38,Femenino,35-44,Switch,11,Zelda
318,56,Masculino,55+,PC,3,Solitaire
319,22,Masculino,18-24,PC,19,FIFA
320,27,Femenino,25-34,PC,13,The Sims
321,16,Masculino,13-17,Switch,11,Mario Kart
322,33,Masculino,25-34,PC,17,League of Legends
323,43,Masculino,35-44,PlayStation,10,God of War
324,52,Femenino,45-54,PC,4,Solitaire
325,20,Masculino,18-24,Switch,15,Zelda
326,29,Femenino,25-34,PC,14,Stardew Valley
327,37,Masculino,35-44,PC,12,Civilization
328,55,Masculino,55+,Xbox,3,Halo
329,23,Femenino,18-24,PC,16,Valorant
330,31,Masculino,25-34,PC,18,Elden Ring
331,14,Femenino,13-17,Switch,8,Just Dance
332,30,Masculino,25-34,PlayStation,15,The Last of Us
333,42,Femenino,35-44,PC,9,The Sims
334,50,Masculino,45-54,PC,6,Age of Empires
335,19,Masculino,18-24,PC,20,Valorant
336,28,Femenino,25-34,Switch,12,Animal Crossing
337,39,Masculino,35-44,PC,11,Civilization
338,56,Femenino,55+,PC,3,Solitaire
339,21,Masculino,18-24,PC,18,FIFA
340,32,Femenino,25-34,PC,13,Stardew Valley
341,17,Masculino,13-17,Switch,10,Pokemon
342,29,Masculino,25-34,PC,17,League of Legends
343,40,Femenino,35-44,PlayStation,11,The Last of Us
344,53,Masculino,45-54,PC,5,Civilization
345,22,Femenino,18-24,PC,14,The Sims
346,27,Masculino,25-34,Xbox,16,Forza Horizon
347,38,Femenino,35-44,PC,10,Stardew Valley
348,54,Masculino,55+,Switch,3,Mario Kart
349,20,Masculino,18-24,PC,19,Valorant
350,30,Femenino,25-34,PC,12,Zelda
351,15,Masculino,13-17,Switch,9,Pokemon
352,33,Masculino,25-34,PC,18,Elden Ring
353,44,Femenino,35-44,PC,8,The Sims
354,51,Masculino,45-54,PC,5,Age of Empires
355,23,Masculino,18-24,PlayStation,20,Call of Duty
356,28,Femenino,25-34,PC,13,Valorant
357,37,Masculino,35-44,PC,11,Civilization
358,55,Masculino,55+,PC,3,Solitaire
359,19,Femenino,18-24,Switch,14,Zelda
360,31,Masculino,25-34,PC,17,League of Legends
361,16,Femenino,13-17,Switch,10,Animal Crossing
362,29,Masculino,25-34,PlayStation,16,The Last of Us
363,41,Masculino,35-44,Xbox,9,Red Dead Redemption
364,52,Femenino,45-54,PC,4,Solitaire
365,22,Masculino,18-24,PC,19,FIFA
366,27,Femenino,25-34,PC,12,Stardew Valley
367,38,Masculino,35-44,PC,11,Civilization
368,56,Femenino,55+,Switch,2,Mario Kart
369,20,Masculino,18-24,PC,20,Valorant
370,30,Masculino,25-34,PC,15,Elden Ring
371,14,Femenino,13-17,Switch,8,Just Dance
372,32,Masculino,25-34,PC,17,League of Legends
373,43,Femenino,35-44,PC,9,The Sims
374,50,Masculino,45-54,PC,6,Civilization
375,21,Masculino,18-24,PC,18,Valorant
376,28,Femenino,25-34,Switch,11,Animal Crossing
377,39,Masculino,35-44,PC,10,Age of Empires
378,57,Masculino,55+,PC,3,Solitaire
379,23,Femenino,18-24,PC,15,Stardew Valley
380,31,Masculino,25-34,PlayStation,16,God of War
381,17,Masculino,13-17,Switch,11,Pokemon
382,29,Femenino,25-34,PC,13,Valorant
383,40,Masculino,35-44,PC,12,Civilization
384,53,Femenino,45-54,PC,5,Solitaire
385,19,Masculino,18-24,PC,19,FIFA
386,27,Masculino,25-34,PC,17,League of Legends
387,36,Femenino,35-44,Switch,10,Zelda
388,54,Masculino,55+,PC,3,Age of Empires
389,22,Femenino,18-24,PC,14,The Sims
390,30,Masculino,25-34,PC,18,Valorant
391,15,Masculino,13-17,Switch,9,Mario Kart
392,33,Femenino,25-34,PC,12,Stardew Valley
393,42,Masculino,35-44,Xbox,10,Forza Horizon
394,51,Femenino,45-54,PC,5,Solitaire
395,20,Masculino,18-24,PC,20,Elden Ring
396,28,Masculino,25-34,PC,16,Valorant
397,38,Femenino,35-44,PC,11,Civilization
398,55,Masculino,55+,PC,3,Solitaire
399,23,Masculino,18-24,PlayStation,18,God of War
400,31,Femenino,25-34,PC,13,The Sims
